iter	Passed	Remaining
538	21492	4067
539	21527	4026
540	21562	3985
541	21598	3945
542	21634	3904
543	21673	3864
544	21708	3823
545	21749	3784
546	21785	3743
547	21820	3703
548	21878	3666
549	21940	3630
550	21980	3590
551	22013	3549
552	22046	3508
553	22096	3469
554	22128	3428
555	22171	3389
556	22204	3348
557	22240	3308
558	22271	3266
559	22308	3226
560	22350	3187
561	22385	3146
562	22423	3106
563	22461	3066
564	22495	3025
565	22531	2985
566	22570	2945
567	22602	2904
568	22641	2864
569	22675	2824
570	22709	2783
571	22747	2744
572	22779	2703
573	22816	2663
574	22856	2623
575	22894	2583
576	22930	2543
577	22966	2503
578	23008	2463
579	23045	2423
580	23081	2383
581	23122	2344
582	23158	2303
583	23196	2263
584	23229	2223
585	23269	2183
586	23306	2144
587	23339	2103
588	23382	2064
589	23418	2024
590	23450	1983
591	23485	1943
592	23516	1903
593	23557	1863
594	23593	1824
595	23625	1783
596	23660	1743
597	23694	1703
598	23729	1663
599	23765	1623
600	23806	1584
601	23840	1544
602	23877	1504
603	23908	1464
604	23945	1424
605	23979	1384
606	24018	1345
607	24054	1305
608	24091	1265
609	24127	1226
610	24164	1186
611	24205	1146
612	24242	1107
613	24280	1067
614	24317	1028
615	24355	988
616	24389	948
617	24423	908
618	24463	869
619	24497	829
620	24532	790
621	24563	750
622	24636	711
623	24727	673
624	24853	636
625	24937	597
626	24973	557
627	25009	517
628	25041	477
629	25076	437
630	25112	397
631	25149	358
632	25183	318
633	25217	278
634	25248	238
635	25278	198
636	25315	158
637	25355	119
638	25392	79
639	25429	39
640	25465	0
